0,68	0,74	0,55	0,38	0,96	
0,87	0,93	0,33	0,08	0,65	
0,19	0,65	0,96	0,27	0,26	
0,49	0,59	0,93	0,62	0,78	
0,08	0,94	0,58	0,08	0,11	

1,08	0,46	0,18	1,10	0,09	
0,24	0,06	0,18	0,42	0,09	
0,51	0,16	0,58	0,46	0,35	
0,39	0,48	0,30	0,21	1,11	
0,42	0,56	0,11	0,64	0,05	

0,09	0,09	0,35	1,11	0,05	
1,10	0,42	0,46	0,21	0,64	
0,18	0,18	0,58	0,30	0,11	
0,46	0,06	0,16	0,48	0,56	
1,08	0,24	0,51	0,39	0,42	

0,05	0,64	0,11	0,56	0,42	
1,11	0,21	0,30	0,48	0,39	
0,35	0,46	0,58	0,16	0,51	
0,09	0,42	0,18	0,06	0,24	
0,09	1,10	0,18	0,46	1,08	

